Duration (in seconds),Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
266,Arkansas,,,,You can come over and pick up a little to spicy for me and you are doing it from ,Get a new one for me and I have a good day and ,Cool ,Strongly Agree,Strongly Agree,Neutral,Pecans,,,,Pawpaws,,,,Sassafras,,,Cattails,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Very Concerned,,,Checking for ticks after spending time outdoors,,,,,8,Strongly Distrust,Strongly Trust,Trust,Strongly Trust,Trust,Strongly Trust,25 - 34,Female,,Black or African American,,,,,,,,,,,,,,"Yes, another Hispanic, Latino, or Spanish Origin","$100,000 - $149,999",9,Jewish,177,191,,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",Qual29638-0912-ConsumersStudy[BA],1,,6522d027-e170-a17f-f2b6-119693cf2e73,41868610,H,1338,,,,,266,anonymous,Value will be set from Panel or URL,on,
342,Tennessee,,,Hamilton,Corn,Corn,Corn,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None but I have to check something ,Neutral,,,,,Seeking medical advice or consultation about prevention,,,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",4,None of the above or other,103,133,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d0ef-d596-6799-a41a-92a1e16c941f,41868610,H,1338,,,,,342,anonymous,Value will be set from Panel or URL,on,White
371,Tennessee,,,Roane,"Corn, wheat, ","Corn, wheat, beans",Idk,Strongly Agree,Agree,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,5,Trust,Trust,Trust,Trust,Neutral,Neutral,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",,None of the above or other,30,20,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522d11e-cb5b-d984-4857-de9289b52b9c,41868610,H,1338,,,,,371,anonymous,Value will be set from Panel or URL,on,White
507,Arkansas,,,,"Rice, soybeans, chicken, pigs","Rice, soybeans, peanuts, catfish",No opinion ,Agree,Agree,Neutral,Pecans,Blackberries,,Muscadine Grapes,,,Persimmons,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",,,,,Friends or Family,,,Very Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,2,Neutral,Neutral,Neutral,Trust,Distrust,Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",2,None of the above or other,170,49,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,6522d084-14b9-3e82-7e15-a6b942be6f33,41868610,H,1338,,,,,507,anonymous,Value will be set from Panel or URL,on,White
511,Tennessee,,,Davidson,"Corn, hay, cotton, tobacco, tomatoes, livestock, berries",Same as above,"Peaches, avocadoes, mangoes",Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,Social Media,,,,,Very Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Neutral,Trust,Neutral,Strongly Trust,Strongly Distrust,Strongly Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,Protestant,100,40,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522d1b4-936c-8986-b83a-c3e7d26d8047,41868610,H,1338,,,,,511,anonymous,Value will be set from Panel or URL,on,White
469,Missouri,,,,"Corn, soybeans, and tobacco",Tobacco and cotton,Citrus,Neutral,Neutral,Neutral,,,,Muscadine Grapes,,,Persimmons,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,Wild Herbs,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey,Not Concerned at all,,,Checking for ticks after spending time outdoors,,,,,4,Neutral,Neutral,Neutral,Trust,Neutral,Trust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,None of the above or other,48,95,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,6522d1ba-6d32-552d-e8eb-9a50fe8ebf7d,41868610,H,1338,,,,,469,anonymous,Value will be set from Panel or URL,on,White
354,Tennessee,,,Sevier,Apples,"Apples, oranges, peaches",Banana ,Agree,Agree,Agree,,,,,,,,,,,,,,None of the above,"Yes, I had heard of Alpha-gal syndrome.",,,,,Community Programs or Workshops,,,,Neutral,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,8,Trust,Trust,Trust,Trust,Trust,Trust,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",4,None of the above or other,112,52,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,4ok5q3pDSsO8OddHqCupud,29,,354,anonymous,Value will be set from Panel or URL,on,White
274,Missouri,,,,Biscuits and gravy with jelly on top ,Southern country fried steak,Tots,Agree,Agree,Disagree,,,Ramps,Muscadine Grapes,,,,,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),This survey,Neutral,Using insect repellent when outdoors,,,,,,,3,Neutral,Trust,Neutral,Strongly Distrust,Distrust,Neutral,45 - 54,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,None of the above or other,76,41,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d3e8-cd6e-2b57-b3db-4331f8593424,41868610,H,1338,,,,,274,anonymous,Value will be set from Panel or URL,on,White
276,Arkansas,,,,Potatoes apple cherry,Alfalfa ,Apples,Neutral,Neutral,Neutral,,,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),,Not Concerned at all,Using insect repellent when outdoors,,,,,,,4,Neutral,Strongly Trust,Neutral,Distrust,Distrust,Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",2,Not religious,129,45,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d408-6f99-9d8f-6e0a-7d589bf61944,41868610,H,1338,,,,,276,anonymous,Value will be set from Panel or URL,on,White
515,Mississippi,,Hinds,,Blueberry,Catfish,Banana and oranges,Strongly Agree,Strongly Agree,Strongly Agree,Pecans,,,,,,,,,,,,,,"No, I have never heard of this before.",,News/Media,,,,,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,10,Trust,Trust,Neutral,Trust,Trust,Neutral,55 - 64,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",1,None of the above or other,99,51,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)","Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Qual29638-0912-ConsumersStudy[BA],1,,6522d35d-281c-fed2-6129-dddaf4c81121,41868610,H,1338,,,,,515,anonymous,Value will be set from Panel or URL,on,Black/AA
195,Arkansas,,,,Corn,Grains,N/A,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,"Educational Institutions (Schools, Colleges, etc.)",Social Media,,Friends or Family,,,Neutral,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,5,Distrust,Trust,Strongly Trust,Neutral,Strongly Distrust,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",4,Atheist/Agnostic,150,50,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d4f1-b560-e049-4fbb-2b242906534a,41868610,H,1338,,,,,195,anonymous,Value will be set from Panel or URL,on,White
366,Louisiana,Washington,,,Bame,Christian,Rice,Neutral,Strongly Agree,Agree,,,Ramps,,,Mayhaw,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,"Educational Institutions (Schools, Colleges, etc.)",Social Media,Community Programs or Workshops,,,,Somewhat Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,5,Neutral,Trust,Trust,Neutral,Trust,Trust,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",6,Jewish,143,119,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,"Direct from producer (other than farmers markets; e.g. CSA, farm stand, ordering online from a producer)",,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",Qual29638-0912-ConsumersStudy[BA],1,,6522d4b8-14e2-8b8b-93bd-c482a80a8e02,41868610,H,1338,,,,,366,anonymous,Value will be set from Panel or URL,on,White
447,Tennessee,,,Knox,livestock ,idk,idk,Disagree,Disagree,Disagree,Pecans,,,,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),n/a,Not Concerned at all,,,,,,Other (Please Specify),nothing ,10,Distrust,Neutral,Neutral,Neutral,Strongly Distrust,Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",1,Not religious,39,70,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d4f1-d732-e45c-671a-d765d8dfa118,41868610,H,1338,,,,,447,anonymous,Value will be set from Panel or URL,on,White
331,Arkansas,,,,Soy beans,Tobacco,Wheat,Agree,Agree,Neutral,,Blackberries,,Muscadine Grapes,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Not Concerned at all,,,Checking for ticks after spending time outdoors,,,,,4,Neutral,Trust,Neutral,Trust,Distrust,Neutral,55 - 64,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",2,Protestant,177,60,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522d5af-c43a-75f8-bfa3-9dffedb2be9c,41868610,H,1338,,,,,331,anonymous,Value will be set from Panel or URL,on,American Indian or Alaska Native or Others
257,Louisiana,Bossier,,,Sugar cane,Sugar cane,Corn,Neutral,Neutral,Neutral,Pecans,Blackberries,,Muscadine Grapes,,,Persimmons,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,6,Strongly Distrust,Trust,Trust,Trust,Strongly Distrust,Neutral,55 - 64,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",6,Protestant,210,48,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,6522d5e4-3f3d-f09e-b427-f21d70e939b0,41868610,H,1338,,,,,257,anonymous,Value will be set from Panel or URL,on,American Indian or Alaska Native or Others
449,Mississippi,,Forrest,,Collard Greens,Chicken ,Don't know ,Disagree,Disagree,Disagree,Pecans,Blackberries,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Neutral,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Trust,Neutral,Trust,Distrust,Distrust,Neutral,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,None of the above or other,121,10,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,6522d511-a54e-4b8b-4100-ef0711eb47c1,41868610,H,1338,,,,,449,anonymous,Value will be set from Panel or URL,on,White
226,Mississippi,,Smith,,mississippi mud pie,mississippi seafood,soybeans,Agree,Neutral,Neutral,,Blackberries,,,,,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,Wild Herbs,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",News/Media,,,,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Neutral,Neutral,Strongly Trust,Trust,Trust,Distrust,25 - 34,Male,White,,,,,Chinese,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",2,Not religious,175,68,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,,,,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522d643-2b67-07b9-3f61-50a96a442073,41868610,H,1338,,,,,226,anonymous,Value will be set from Panel or URL,on,White
170,Arkansas,,,,Chicken,Chicken ,Corn,Agree,Agree,Agree,,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Not Concerned at all,,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Neutral,Trust,Neutral,Trust,Distrust,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Not religious,150,110,"Supercenter and wholesale (e.g. Walmart, Costco)",,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d69a-c1bd-43e5-a33f-3714600afd5e,41868610,H,1338,,,,,170,anonymous,Value will be set from Panel or URL,on,White
736,Mississippi,,Harrison,,Pecans watermelon blueberries ,Corn catfish ,Pecans,Neutral,Agree,Neutral,Pecans,Blackberries,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,7,Neutral,Trust,Trust,Trust,Neutral,Neutral,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",4,Catholic,180,28,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,6522d4eb-3272-de2a-a753-108a4dc71ffa,41868610,H,1338,,,,,736,anonymous,Value will be set from Panel or URL,on,White
219,Mississippi,,Chickasaw,,Corn,Corn,Wheat ,Strongly Disagree,Disagree,Neutral,,,,,,,,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Not Concerned at all,,,,,Seeking medical advice or consultation about prevention,,,5,Neutral,Trust,Neutral,Distrust,Distrust,Distrust,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",5,Muslim,75,59,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,Food box (e.g. sourced from many farms/producers; picked up at food hub or delivered to home),,,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)",Qual29638-0912-ConsumersStudy[BA],1,,6522d788-8d0d-81d3-f4f6-25ada2a91d49,41868610,H,1338,,,,,219,anonymous,Value will be set from Panel or URL,on,Black/AA
394,Missouri,,,,Corn,"Rice, fruit trees, pecans ",Any foods that we as a country could avoid importing ,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",News/Media,,,Community Programs or Workshops,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,7,Trust,Trust,Trust,Trust,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","$80,000 - $89,999",4,Catholic,105,55,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1UNdf37B3O00SilcwKD8fG,29,,394,anonymous,Value will be set from Panel or URL,on,
208,Louisiana,Ouachita,,,Pizza,Strimp ,Corn ,Agree,Agree,Strongly Agree,Pecans,Blackberries,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.","Medical professionals (Doctor, Nurse, etc.)",,,Social Media,,,,,Somewhat Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,7,Strongly Trust,Strongly Trust,Strongly Trust,Strongly Trust,Trust,Neutral,25 - 34,Female,,,American Indian or Alaska Native,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",1,None of the above or other,143,66,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,"Meal/Meal Kit Delivery Service (e.g. Blue Apron, Schwan's, etc.)",,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522d7ac-2524-45bb-e5d9-109a9fcb5e12,41868610,H,1338,,,,,208,anonymous,Value will be set from Panel or URL,on,American Indian or Alaska Native or Others
166,Louisiana,Orleans,,,"Carrots, Milk, and Any other Vegetables ","Carrots, Milk, and Any other Vegetables ","Carrots, Milk, and Any other Vegetables ",Neutral,Neutral,Neutral,Pecans,Blackberries,,,,,,Mushrooms,,,Wild Nuts,Cattails,,,"No, but I had heard about a tick bite that makes you allergic to red meat.","Medical professionals (Doctor, Nurse, etc.)",News/Media,"Educational Institutions (Schools, Colleges, etc.)",Social Media,Community Programs or Workshops,Friends or Family,,,Neutral,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,Seeking medical advice or consultation about prevention,,,6,Strongly Distrust,Distrust,Neutral,Trust,Strongly Trust,Trust,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",2,Catholic,99,98,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",,,,,,Farmers market,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,6VpQ3dmCfwmoDT1LXO9TOj,29,,166,anonymous,Value will be set from Panel or URL,on,White
239,Arkansas,,,,Catfish ,Fish,I don't know ,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None ,Not Concerned at all,Using insect repellent when outdoors,,,,,,,5,Strongly Distrust,Distrust,Strongly Distrust,Distrust,Strongly Distrust,Strongly Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"Yes, Mexican, Mexican American, Chicano","Less than $10,000",3,Not religious,73,53,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d7a2-e0e5-4661-13d5-a345cf8e7aae,41868610,H,1338,,,,,239,anonymous,Value will be set from Panel or URL,on,
554,Missouri,,,,Tomatoes,Soybeans corn,Berries ,Agree,Agree,Neutral,,Blackberries,,,,,,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),Never heard of it before now.,Not Very Concerned,,,Checking for ticks after spending time outdoors,,,,,5,Distrust,Distrust,Neutral,Distrust,Strongly Distrust,Strongly Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",5,None of the above or other,71,23,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,6522d679-bfb4-de1d-bd7e-45215db99aac,41868610,H,1338,,,,,554,anonymous,Value will be set from Panel or URL,on,White
240,Louisiana,Tangipahoa,,,Corn,Cotton,Shrimp,Disagree,Disagree,Disagree,,Blackberries,,Muscadine Grapes,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,Friends or Family,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,1,Distrust,Trust,Neutral,Trust,Distrust,Strongly Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",3,Protestant,61,30,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,6522d801-4a03-805a-af25-516273e47b39,41868610,H,1338,,,,,240,anonymous,Value will be set from Panel or URL,on,White
193,Tennessee,,,Marshall,Potato ,Na,Chips,Agree,Agree,Agree,,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,Social Media,,,,,Somewhat Concerned,,,,,Seeking medical advice or consultation about prevention,,,9,Trust,Trust,Trust,Trust,Strongly Trust,Trust,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",8,Not religious,182,157,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,6522d81b-b8c1-b575-d712-9dc4766b2b9e,41868610,H,1338,,,,,193,anonymous,Value will be set from Panel or URL,on,Black/AA
